experiment,split_id,genus
within_cohort_zhuang2018,outer_fold_2,Christensenellaceae R-7 group
within_cohort_zhuang2018,outer_fold_2,Clostridium sensu stricto 1
within_cohort_zhuang2018,outer_fold_2,Colidextribacter
within_cohort_zhuang2018,outer_fold_2,Collinsella
within_cohort_zhuang2018,outer_fold_2,Coprobacillus
within_cohort_zhuang2018,outer_fold_2,Coprococcus
within_cohort_zhuang2018,outer_fold_2,Corynebacterium
within_cohort_zhuang2018,outer_fold_2,DTU089
within_cohort_zhuang2018,outer_fold_2,Defluviitaleaceae UCG-011
within_cohort_zhuang2018,outer_fold_2,Desulfovibrio
within_cohort_zhuang2018,outer_fold_2,Dialister
within_cohort_zhuang2018,outer_fold_2,Dorea
within_cohort_zhuang2018,outer_fold_2,Eggerthella
within_cohort_zhuang2018,outer_fold_2,Eisenbergiella
within_cohort_zhuang2018,outer_fold_2,Enterobacter
within_cohort_zhuang2018,outer_fold_2,Enterococcus
within_cohort_zhuang2018,outer_fold_2,Erysipelatoclostridium
within_cohort_zhuang2018,outer_fold_2,Erysipelotrichaceae UCG-003
within_cohort_zhuang2018,outer_fold_2,Escherichia-Shigella
within_cohort_zhuang2018,outer_fold_2,Eubacterium
within_cohort_zhuang2018,outer_fold_2,Eubacterium brachy group
within_cohort_zhuang2018,outer_fold_2,Eubacterium eligens group
within_cohort_zhuang2018,outer_fold_2,Eubacterium hallii group
within_cohort_zhuang2018,outer_fold_2,Eubacterium ventriosum group
within_cohort_zhuang2018,outer_fold_2,Faecalibacterium
within_cohort_zhuang2018,outer_fold_2,Faecalitalea
within_cohort_zhuang2018,outer_fold_2,Family XIII AD3011 group
within_cohort_zhuang2018,outer_fold_2,Family XIII UCG-001
within_cohort_zhuang2018,outer_fold_2,Flavonifractor
within_cohort_zhuang2018,outer_fold_2,Fusicatenibacter
within_cohort_zhuang2018,outer_fold_2,Fusobacterium
within_cohort_zhuang2018,outer_fold_2,GCA-900066575
within_cohort_zhuang2018,outer_fold_2,Gemella
within_cohort_zhuang2018,outer_fold_2,Gordonibacter
within_cohort_zhuang2018,outer_fold_2,Granulicatella
within_cohort_zhuang2018,outer_fold_2,HT002
within_cohort_zhuang2018,outer_fold_2,Haemophilus
within_cohort_zhuang2018,outer_fold_2,Holdemanella
within_cohort_zhuang2018,outer_fold_2,Holdemania
within_cohort_zhuang2018,outer_fold_2,Hungatella
within_cohort_zhuang2018,outer_fold_2,Incertae Sedis
within_cohort_zhuang2018,outer_fold_2,Intestinibacter
within_cohort_zhuang2018,outer_fold_2,Intestinimonas
within_cohort_zhuang2018,outer_fold_2,Klebsiella
within_cohort_zhuang2018,outer_fold_2,Lachnoclostridium
within_cohort_zhuang2018,outer_fold_2,Lachnospira
within_cohort_zhuang2018,outer_fold_2,Lachnospiraceae FCS020 group
within_cohort_zhuang2018,outer_fold_2,Lachnospiraceae ND3007 group
within_cohort_zhuang2018,outer_fold_2,Lachnospiraceae NK4A136 group
within_cohort_zhuang2018,outer_fold_2,Lachnospiraceae UCG-001
within_cohort_zhuang2018,outer_fold_2,Lachnospiraceae UCG-004
within_cohort_zhuang2018,outer_fold_2,Lachnospiraceae UCG-010
within_cohort_zhuang2018,outer_fold_2,Lactobacillus
within_cohort_zhuang2018,outer_fold_2,Lactococcus
within_cohort_zhuang2018,outer_fold_2,Ligilactobacillus
within_cohort_zhuang2018,outer_fold_2,Limosilactobacillus
within_cohort_zhuang2018,outer_fold_2,Marvinbryantia
within_cohort_zhuang2018,outer_fold_2,Massilia
within_cohort_zhuang2018,outer_fold_2,Megamonas
within_cohort_zhuang2018,outer_fold_2,Megasphaera
within_cohort_zhuang2018,outer_fold_2,Methylobacterium-Methylorubrum
within_cohort_zhuang2018,outer_fold_2,Monoglobus
within_cohort_zhuang2018,outer_fold_2,NK4A214 group
within_cohort_zhuang2018,outer_fold_2,Negativibacillus
within_cohort_zhuang2018,outer_fold_2,Odoribacter
within_cohort_zhuang2018,outer_fold_2,Oscillibacter
within_cohort_zhuang2018,outer_fold_2,Paludicola
within_cohort_zhuang2018,outer_fold_2,Parabacteroides
within_cohort_zhuang2018,outer_fold_2,Paracoccus
within_cohort_zhuang2018,outer_fold_2,Parasutterella
within_cohort_zhuang2018,outer_fold_2,Peptostreptococcus
within_cohort_zhuang2018,outer_fold_2,Phascolarctobacterium
within_cohort_zhuang2018,outer_fold_2,Prevotella
within_cohort_zhuang2018,outer_fold_2,Prevotella_9
within_cohort_zhuang2018,outer_fold_2,Pseudomonas
within_cohort_zhuang2018,outer_fold_2,Pyramidobacter
within_cohort_zhuang2018,outer_fold_2,Raoultibacter
within_cohort_zhuang2018,outer_fold_2,Rhodococcus
