cohort,taxon,n_folds_total,n_positive,n_negative,n_zero,median_coefficient,mean_coefficient,sign_stability
kazakhstan2022,Lachnospiraceae UCG-006,10,0,10,0,-0.0164160999826976,-0.016738336140388603,stable_negative
kazakhstan2022,Lachnospiraceae UCG-010,10,10,0,0,0.022094032248236174,0.0346134546018293,stable_positive
kazakhstan2022,Lacibacter,10,5,5,0,-0.0004496988269842495,-0.0016081246294572162,unstable
kazakhstan2022,Lacticaseibacillus,10,9,1,0,0.009099317238951117,0.01924832427872957,stable_positive
kazakhstan2022,Lactiplantibacillus,10,0,10,0,-0.05620681581822756,-0.05816421670042896,stable_negative
kazakhstan2022,Lactobacillus,10,10,0,0,0.057965677126039755,0.06785462262524397,stable_positive
kazakhstan2022,Lactococcus,10,8,2,0,0.01848087373331316,0.026630793190345864,stable_positive
kazakhstan2022,Lactonifactor,10,10,0,0,0.02584758698981124,0.031059271488622902,stable_positive
kazakhstan2022,Lacunisphaera,10,10,0,0,0.02741474566537462,0.029178760488184546,stable_positive
kazakhstan2022,Latilactobacillus,10,0,10,0,-0.04324976498313918,-0.048465875331499556,stable_negative
kazakhstan2022,Lechevalieria,10,10,0,0,0.016593862317812434,0.020030268217643775,stable_positive
kazakhstan2022,Legionella,10,5,5,0,-6.0969017931970204e-05,0.0022871638047937057,unstable
kazakhstan2022,Leucobacter,10,10,0,0,0.00279227909109994,0.0028428851886362814,stable_positive
kazakhstan2022,Leuconostoc,10,5,5,0,-0.00018574143829565732,-0.00033075489456651987,unstable
kazakhstan2022,Levilactobacillus,10,0,10,0,-0.04370436990801982,-0.04756379012219173,stable_negative
kazakhstan2022,Libanicoccus,10,10,0,0,0.020265915951923216,0.019912523166020175,stable_positive
kazakhstan2022,Ligilactobacillus,10,3,7,0,-0.0034817233122097168,-0.002857956536738543,unstable
kazakhstan2022,Limosilactobacillus,10,9,1,0,0.006581454348591895,0.0016836544746041376,stable_positive
kazakhstan2022,Longimicrobium,10,10,0,0,0.008400870594207398,0.007620070894986,stable_positive
kazakhstan2022,Luedemannella,10,10,0,0,0.021961382641975565,0.028330022630683856,stable_positive
kazakhstan2022,Luteolibacter,10,10,0,0,0.013612762850408267,0.019153578341874443,stable_positive
kazakhstan2022,Lysinibacillus,10,0,10,0,-0.013162397016028324,-0.013410865330007269,stable_negative
kazakhstan2022,Lysobacter,10,9,1,0,0.00814023080479143,0.010850119769023317,stable_positive
kazakhstan2022,MND1,10,4,6,0,-0.0003796852860323155,0.012501043677170693,unstable
kazakhstan2022,Marmoricola,10,10,0,0,0.01474744504847901,0.01836381598703747,stable_positive
kazakhstan2022,Marvinbryantia,10,7,3,0,0.00567137463151892,0.008687148119107738,unstable
kazakhstan2022,Massilia,10,10,0,0,0.015517760109564935,0.0168629788435161,stable_positive
kazakhstan2022,Megamonas,10,0,10,0,-0.02780610755267635,-0.022993355927003713,stable_negative
kazakhstan2022,Megasphaera,10,1,9,0,-0.02022861839266754,-0.019805750334702967,stable_negative
kazakhstan2022,Merdibacter,10,0,10,0,-0.025919187504206853,-0.033345923288642956,stable_negative
kazakhstan2022,Mesorhizobium,10,9,1,0,0.010054127873126265,0.012548577161926469,stable_positive
kazakhstan2022,Methanobrevibacter,10,10,0,0,0.029582725864617673,0.04736808945787007,stable_positive
